frame,pen-position-x,pen-position-y
835,997,34
836,1003,23
837,1009,24
838,1011,24
839,1011,24
840,1001,21
841,1006,21
842,1016,33
843,1011,27
844,1010,32
845,1018,19
846,1015,15
847,1015,21
848,1022,36
849,1022,36
850,1017,30
851,1023,25
852,1024,36
853,1033,34
854,1029,35
855,1037,20
856,1037,14
857,1039,21
858,1032,21
859,1040,31
860,1042,28
861,1043,33
862,1041,35
863,1039,49
864,1044,46
865,1026,37
866,1016,24
867,1005,12
868,1011,14
869,997,14
870,1027,14
871,1055,16
872,1061,19
873,1068,16
874,1060,29
875,1073,29
876,1064,33
877,1066,16
878,1066,28
879,1066,37
880,1066,39
881,1067,37
882,1064,40
883,1060,31
884,1062,27
885,1076,22
886,1072,24
887,1072,29
888,1076,32
889,1066,20
890,1072,31
891,1081,24
892,1086,25
893,1082,35
894,1082,40
895,1083,41
896,1086,27
897,1088,27
898,1102,26
899,1102,26
900,1092,28
901,1089,26
902,1102,32
903,1100,23
904,1100,34
905,1105,24
906,1100,18
907,1101,18
908,1108,12
909,1105,9
910,1105,15
911,1106,37
912,1108,25
913,1111,25
914,1123,23
915,1118,30
916,1118,38
917,1114,33
918,1116,37
919,1110,29
920,1117,20
921,1128,15
922,1123,20
923,1123,30
924,1129,37
925,1125,43
926,1125,43
927,1135,32
928,1130,32
929,1136,29
930,1141,19
931,1147,24
932,1134,28
933,1134,36
934,1141,37
935,1148,24
936,1148,18
937,1148,18
938,1148,18
939,1150,39
940,1158,34
941,1153,25
942,1153,27
943,1159,28
944,1157,35
945,1165,31
946,1166,29
947,1165,24
948,1163,18
949,1166,37
950,1177,32
951,1176,27
952,1181,28
953,1187,19
954,1176,19
955,1174,12
956,1179,27
957,1179,27
958,1182,26
959,1183,32
960,1163,32
961,1148,27
962,1138,23
963,1036,37
964,983,54
965,983,54
966,908,91
967,907,97
968,899,97
969,915,101
970,916,101
971,914,100
972,918,98
973,907,98
974,904,102
975,903,98
976,903,93
977,901,92
978,900,90
979,899,89
980,899,89
981,898,87
982,913,87
983,915,88
984,928,90
985,933,95
986,928,84
987,932,83
988,932,83
989,930,84
990,928,85
991,935,88
992,940,98
993,938,94
994,932,97
995,927,102
996,940,88
997,952,83
998,955,80
999,958,79
1000,958,79
1001,948,71
1002,953,98
1003,955,99
1004,952,98
1005,962,95
1006,967,83
1007,973,87
1008,965,83
1009,963,104
1010,974,100
1011,974,93
1012,970,87
1013,976,91
1014,971,91
1015,973,89
1016,994,91
1017,989,80
1018,996,88
1019,981,91
1020,978,87
1021,989,98
1022,988,88
1023,988,81
1024,990,95
1025,991,101
1026,993,100
1027,994,115
1028,985,114
1029,988,116
1030,987,103
1031,990,94
1032,994,86
1033,1001,81
1034,998,78
1035,1002,94
1036,1010,100
1037,1011,88
1038,1013,81
1039,1017,81
1040,1015,73
1041,1016,79
1042,1012,81
1043,1010,93
1044,1017,97
1045,1025,95
1046,1022,84
1047,1012,74
1048,996,70
1049,990,70
1050,990,70
1051,989,73
1052,981,76
1053,923,113
1054,913,117
1055,907,121
1056,895,114
1057,895,124
1058,894,104
1059,895,103
1060,895,103
1061,899,104
1062,906,107
1063,898,116
1064,901,111
1065,912,117
1066,930,125
1067,945,134
1068,932,130
1069,939,124
1070,936,110
1071,942,115
1072,937,121
1073,948,124
1074,948,127
1075,950,127
1076,943,136
1077,929,139
1078,937,132
1079,948,126
1080,998,135
1081,1000,139
1082,997,147
1083,985,144
1084,979,136
1085,977,128
1086,977,128
1087,972,129
1088,974,125
1089,967,137
1090,958,133
1091,958,133
1092,958,133
1093,958,133
1094,969,138
1095,974,150
1096,977,153
1097,977,158
1098,972,149
1099,963,138
1100,965,129
1101,961,139
1102,965,137
1103,976,135
1104,978,146
1105,966,150
1106,970,155
1107,971,142
1108,978,138
1109,988,132
1110,992,131
1111,988,121
1112,988,124
1113,991,147
1114,993,146
1115,993,147
1116,1008,138
1117,1009,133
1118,1011,138
1119,1002,137
1120,998,149
1121,1005,147
1122,1012,146
1123,1009,136
1124,1009,130
1125,1006,135
1126,1013,142
1127,1027,145
1128,1020,152
1129,1020,129
1130,1030,136
1131,1025,140
1132,1033,143
1133,1037,146
1134,1035,143
1135,1036,146
1136,1046,134
1137,1037,129
1138,1036,153
1139,1038,161
1140,1044,159
